"filename", "language", "JSON with Comments", "XML", "JavaScript", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"g:\PSUT\db bonus final\db_bonus\app\team-camp\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"g:\PSUT\db bonus final\db_bonus\app\team-camp\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"g:\PSUT\db bonus final\db_bonus\app\team-phone\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 9, 62
"g:\PSUT\db bonus final\db_bonus\app\team-phone\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"g:\PSUT\db bonus final\db_bonus\app\team-studies-animal\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"g:\PSUT\db bonus final\db_bonus\app\team-studies-animal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"g:\PSUT\db bonus final\db_bonus\app\team\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 0, 19, 105
"g:\PSUT\db bonus final\db_bonus\app\team\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"g:\PSUT\db bonus final\db_bonus\components\AddEntry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 8, 63
"g:\PSUT\db bonus final\db_bonus\components\ModifyEntry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 14, 112
"g:\PSUT\db bonus final\db_bonus\components\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"g:\PSUT\db bonus final\db_bonus\components\SearchSSN.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"g:\PSUT\db bonus final\db_bonus\components\TeamRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 2, 10, 78
"g:\PSUT\db bonus final\db_bonus\eslint.config.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"g:\PSUT\db bonus final\db_bonus\lib\db.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
